2025-06-19 17:52:27 | ALERT: SMOKING | Person ID: 1
2025-06-19 17:52:27 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 17:52:28 | ALERT: SMOKING | Person ID: 1
2025-06-19 17:52:28 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 17:52:29 | ALERT: SMOKING | Person ID: 1
2025-06-19 17:52:29 | ALERT: SMOKING | Person ID: 1
2025-06-19 17:52:30 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 17:52:30 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 17:52:31 | ALERT: SMOKING | Person ID: 1
2025-06-19 17:52:31 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 17:52:32 | ALERT: SMOKING | Person ID: 1
2025-06-19 17:52:33 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 17:52:33 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 17:52:34 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 17:52:35 | ALERT: SMOKING | Person ID: 1
2025-06-19 17:52:35 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 17:52:35 | ALERT: HARASSMENT | Person ID: 2
2025-06-19 17:52:35 | ALERT: SMOKING | Person ID: 2
2025-06-19 17:52:36 | ALERT: SMOKING | Person ID: 2
2025-06-19 17:52:36 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 17:52:36 | ALERT: HARASSMENT | Person ID: 2
2025-06-19 17:52:36 | ALERT: SMOKING | Person ID: 2
2025-06-19 17:52:37 | ALERT: HARASSMENT | Person ID: 2
2025-06-19 17:52:37 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 17:52:37 | ALERT: HARASSMENT | Person ID: 2
2025-06-19 17:52:37 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 17:52:37 | ALERT: SMOKING | Person ID: 3
2025-06-19 17:52:37 | ALERT: SMOKING | Person ID: 2
2025-06-19 17:52:37 | ALERT: SMOKING | Person ID: 3
2025-06-19 17:52:38 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 17:52:39 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 17:52:39 | ALERT: HARASSMENT | Person ID: 2
2025-06-19 17:52:40 | ALERT: SMOKING | Person ID: 1
2025-06-19 21:35:59 | ALERT: THEFT | Person ID: 1
2025-06-19 21:35:59 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 21:36:00 | ALERT: SMOKING | Person ID: 1
2025-06-19 21:36:00 | ALERT: THEFT | Person ID: 1
2025-06-19 21:36:00 | ALERT: SMOKING | Person ID: 1
2025-06-19 21:36:01 | ALERT: THEFT | Person ID: 1
2025-06-19 21:36:01 | ALERT: SMOKING | Person ID: 1
2025-06-19 21:36:02 | ALERT: THEFT | Person ID: 1
2025-06-19 21:36:02 | ALERT: SMOKING | Person ID: 1
2025-06-19 21:36:02 | ALERT: THEFT | Person ID: 1
2025-06-19 21:36:03 | ALERT: THEFT | Person ID: 1
2025-06-19 21:36:03 | ALERT: SMOKING | Person ID: 1
2025-06-19 21:36:03 | ALERT: THEFT | Person ID: 1
2025-06-19 21:36:04 | ALERT: SMOKING | Person ID: 1
2025-06-19 21:36:04 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 21:36:04 | ALERT: THEFT | Person ID: 1
2025-06-19 21:36:05 | ALERT: HARASSMENT | Person ID: 1
2025-06-19 21:36:05 | ALERT: SMOKING | Person ID: 1
